Target	Uniprot	GeneName	GeneID	Description
MIP-1d	Q16663	CCL15 MIP5 NCC3 SCYA15	6359	C-C motif chemokine 15 (Chemokine CC-2) (HCC-2) (Leukotactin-1) (LKN-1) (MIP-1 delta) (Macrophage inflammatory protein 5) (MIP-5) (Mrp-2b) (NCC-3) (Small-inducible cytokine A15) [Cleaved into: CCL15(22-92); CCL15(25-92); CCL15(29-92)]
PDGF-BB	P01127	PDGFB PDGF2 SIS	5155	Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin)
RANTES	P13501	CCL5 D17S136E SCYA5	6352	C-C motif chemokine 5 (EoCP) (Eosinophil chemotactic cytokine) (SIS-delta) (Small-inducible cytokine A5) (T cell-specific protein P228) (TCP228) (T-cell-specific protein RANTES) [Cleaved into: RANTES(3-68); RANTES(4-68)]
TIMP-1	P01033	TIMP1 CLGI TIMP	7076	Metalloproteinase inhibitor 1 (Erythroid-potentiating activity) (EPA) (Fibroblast collagenase inhibitor) (Collagenase inhibitor) (Tissue inhibitor of metalloproteinases 1) (TIMP-1)
TIMP-2	P16035	TIMP2	7077	Metalloproteinase inhibitor 2 (CSC-21K) (Tissue inhibitor of metalloproteinases 2) (TIMP-2)
TNFa	P01375	TNF TNFA TNFSF2	7124	Tumor necrosis factor (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) (TNF-a) [Cleaved into: Tumor necrosis factor, membrane form (N-terminal fragment) (NTF); Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]
TNFb	P01374	LTA TNFB TNFSF1	4049	Lymphotoxin-alpha (LT-alpha) (TNF-beta) (Tumor necrosis factor ligand superfamily member 1)
TNF RI	P19438	TNFRSF1A TNFAR TNFR1	7132	Tumor necrosis factor receptor superfamily member 1A (Tumor necrosis factor receptor 1) (TNF-R1) (Tumor necrosis factor receptor type I) (TNF-RI) (TNFR-I) (p55) (p60) (CD antigen CD120a) [Cleaved into: Tumor necrosis factor receptor superfamily member 1A, membrane form; Tumor necrosis factor-binding protein 1 (TBPI)]
TNF RII	P20333	TNFRSF1B TNFBR TNFR2	7133	Tumor necrosis factor receptor superfamily member 1B (Tumor necrosis factor receptor 2) (TNF-R2) (Tumor necrosis factor receptor type II) (TNF-RII) (TNFR-II) (p75) (p80 TNF-alpha receptor) (CD antigen CD120b) (Etanercept) [Cleaved into: Tumor necrosis factor receptor superfamily member 1b, membrane form; Tumor necrosis factor-binding protein 2 (TBP-2) (TBPII)]
4-1BB	Q07011	TNFRSF9 CD137 ILA	3604	Tumor necrosis factor receptor superfamily member 9 (4-1BB ligand receptor) (CDw137) (T-cell antigen 4-1BB homolog) (T-cell antigen ILA) (CD antigen CD137)
ALCAM	Q13740	ALCAM MEMD	214	CD166 antigen (Activated leukocyte cell adhesion molecule) (CD antigen CD166)
B7-1	P33681	CD80 CD28LG CD28LG1 LAB7	941	T-lymphocyte activation antigen CD80 (Activation B7-1 antigen) (BB1) (CTLA-4 counter-receptor B7.1) (B7) (CD antigen CD80)
BCMA	Q02223	TNFRSF17 BCM BCMA	608	Tumor necrosis factor receptor superfamily member 17 (B-cell maturation protein) (CD antigen CD269)
CD14	P08571	CD14	929	Monocyte differentiation antigen CD14 (Myeloid cell-specific leucine-rich glycoprotein) (CD antigen CD14) [Cleaved into: Monocyte differentiation antigen CD14, urinary form; Monocyte differentiation antigen CD14, membrane-bound form]
CD30	P28908	TNFRSF8 CD30 D1S166E	943	Tumor necrosis factor receptor superfamily member 8 (CD30L receptor) (Ki-1 antigen) (Lymphocyte activation antigen CD30) (CD antigen CD30)
CD40L	P29965	CD40LG CD40L TNFSF5 TRAP	959	CD40 ligand (CD40-L) (T-cell antigen Gp39) (TNF-related activation protein) (TRAP) (Tumor necrosis factor ligand superfamily member 5) (CD antigen CD154) [Cleaved into: CD40 ligand, membrane form; CD40 ligand, soluble form]
CEACAM-1	P13688	CEACAM1 BGP BGP1	634	Carcinoembryonic antigen-related cell adhesion molecule 1 (Biliary glycoprotein 1) (BGP-1) (CD antigen CD66a)
DR6	O75509	TNFRSF21 DR6 UNQ437/PRO868	27242	Tumor necrosis factor receptor superfamily member 21 (Death receptor 6) (CD antigen CD358)
Dtk	Q06418	TYRO3 BYK DTK RSE SKY TIF	7301	Tyrosine-protein kinase receptor TYRO3 (EC 2.7.10.1) (Tyrosine-protein kinase BYK) (Tyrosine-protein kinase DTK) (Tyrosine-protein kinase RSE) (Tyrosine-protein kinase SKY) (Tyrosine-protein kinase TIF)
Endoglin	P17813	ENG END	2022	Endoglin (CD antigen CD105)
ErbB3	P21860	ERBB3 HER3	2065	Receptor tyrosine-protein kinase erbB-3 (EC 2.7.10.1) (Proto-oncogene-like protein c-ErbB-3) (Tyrosine kinase-type cell surface receptor HER3)
E-Selectin	P16581	SELE ELAM1	6401	E-selectin (CD62 antigen-like family member E) (Endothelial leukocyte adhesion molecule 1) (ELAM-1) (Leukocyte-endothelial cell adhesion molecule 2) (LECAM2) (CD antigen CD62E)
Fas	P25445	FAS APT1 FAS1 TNFRSF6	355	Tumor necrosis factor receptor superfamily member 6 (Apo-1 antigen) (Apoptosis-mediating surface antigen FAS) (FASLG receptor) (CD antigen CD95)
Flt-3L	P49771	FLT3LG	2323	Fms-related tyrosine kinase 3 ligand (Flt3 ligand) (Flt3L) (SL cytokine)
GITR	Q9Y5U5	TNFRSF18 AITR GITR UNQ319/PRO364	8784	Tumor necrosis factor receptor superfamily member 18 (Activation-inducible TNFR family receptor) (Glucocorticoid-induced TNFR-related protein) (CD antigen CD357)
HVEM	Q92956	TNFRSF14 HVEA HVEM UNQ329/PRO509	8764	Tumor necrosis factor receptor superfamily member 14 (Herpes virus entry mediator A) (Herpesvirus entry mediator A) (HveA) (Tumor necrosis factor receptor-like 2) (TR2) (CD antigen CD270)
ICAM-3	P32942	ICAM3	3385	Intercellular adhesion molecule 3 (ICAM-3) (CDw50) (ICAM-R) (CD antigen CD50)
Contactin-2	Q02246	CNTN2 AXT TAG1 TAX1	6900	Contactin-2 (Axonal glycoprotein TAG-1) (Axonin-1) (Transient axonal glycoprotein 1) (TAX-1)
IL-1 RI	P14778	IL1R1 IL1R IL1RA IL1RT1	3554	Interleukin-1 receptor type 1 (IL-1R-1) (IL-1RT-1) (IL-1RT1) (CD121 antigen-like family member A) (Interleukin-1 receptor alpha) (IL-1R-alpha) (Interleukin-1 receptor type I) (p80) (CD antigen CD121a) [Cleaved into: Interleukin-1 receptor type 1, membrane form (mIL-1R1) (mIL-1RI); Interleukin-1 receptor type 1, soluble form (sIL-1R1) (sIL-1RI)]
IL-2 Rg	P31785	IL2RG	3561	Cytokine receptor common subunit gamma (Interleukin-2 receptor subunit gamma) (IL-2 receptor subunit gamma) (IL-2R subunit gamma) (IL-2RG) (gammaC) (p64) (CD antigen CD132)
IL-10 Rb	Q08334	IL10RB CRFB4 D21S58 D21S66	3588	Interleukin-10 receptor subunit beta (IL-10 receptor subunit beta) (IL-10R subunit beta) (IL-10RB) (Cytokine receptor class-II member 4) (Cytokine receptor family 2 member 4) (CRF2-4) (Interleukin-10 receptor subunit 2) (IL-10R subunit 2) (IL-10R2) (CD antigen CDw210b)
IL-17R	Q96F46	IL17RA IL17R	23765	Interleukin-17 receptor A (IL-17 receptor A) (IL-17RA) (CDw217) (CD antigen CD217)
IL-21R	Q9HBE5	IL21R NILR UNQ3121/PRO10273	50615	Interleukin-21 receptor (IL-21 receptor) (IL-21R) (Novel interleukin receptor) (CD antigen CD360)
LIMPII	Q14108	SCARB2 CD36L2 LIMP2 LIMPII	950	Lysosome membrane protein 2 (85 kDa lysosomal membrane sialoglycoprotein) (LGP85) (CD36 antigen-like 2) (Lysosome membrane protein II) (LIMP II) (Scavenger receptor class B member 2) (CD antigen CD36)
Lipocalin-2	P80188	LCN2 HNL NGAL	3934	Neutrophil gelatinase-associated lipocalin (NGAL) (25 kDa alpha-2-microglobulin-related subunit of MMP-9) (Lipocalin-2) (Oncogene 24p3) (Siderocalin LCN2) (p25)
L-Selectin	P14151	SELL LNHR LYAM1	6402	L-selectin (CD62 antigen-like family member L) (Leukocyte adhesion molecule 1) (LAM-1) (Leukocyte surface antigen Leu-8) (Leukocyte-endothelial cell adhesion molecule 1) (LECAM1) (Lymph node homing receptor) (TQ1) (gp90-MEL) (CD antigen CD62L)
LYVE-1	Q9Y5Y7	LYVE1 CRSBP1 HAR XLKD1 UNQ230/PRO263	10894	Lymphatic vessel endothelial hyaluronic acid receptor 1 (LYVE-1) (Cell surface retention sequence-binding protein 1) (CRSBP-1) (Extracellular link domain-containing protein 1) (Hyaluronic acid receptor)
MICA	Q29983	MICA PERB11.1	100507436	MHC class I polypeptide-related sequence A (MIC-A)
MICB	Q29980	MICB PERB11.2	4277	MHC class I polypeptide-related sequence B (MIC-B)
NRG1-b1	AAA58639	NRG1	3084	Pro-neuregulin-1, membrane-bound isoform (Pro-NRG1) [Cleaved into: Neuregulin-1 (Acetylcholine receptor-inducing activity) (ARIA) (Breast cancer cell differentiation factor p45) (Glial growth factor) (Heregulin) (HRG) (Neu differentiation factor) (Sensory and motor neuron-derived factor)]
PDGF Rb	P09619	PDGFRB PDGFR PDGFR1	5159	Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)
PECAM-1	P16284	PECAM1	5175	Platelet endothelial cell adhesion molecule (PECAM-1) (EndoCAM) (GPIIA') (PECA1) (CD antigen CD31)
RAGE	Q9UQ07	MOK RAGE RAGE1	5891	MAPK/MAK/MRK overlapping kinase (EC 2.7.11.22) (MOK protein kinase) (Renal tumor antigen 1) (RAGE-1)
TIM-1	Q96D42	HAVCR1 KIM1 TIM1 TIMD1	26762	Hepatitis A virus cellular receptor 1 (HAVcr-1) (Kidney injury molecule 1) (KIM-1) (T-cell immunoglobulin and mucin domain-containing protein 1) (TIMD-1) (T-cell immunoglobulin mucin receptor 1) (TIM) (TIM-1) (T-cell membrane protein 1)
TRAIL R3	O14798	TNFRSF10C DCR1 LIT TRAILR3 TRID UNQ321/PRO366	8794	Tumor necrosis factor receptor superfamily member 10C (Antagonist decoy receptor for TRAIL/Apo-2L) (Decoy TRAIL receptor without death domain) (Decoy receptor 1) (DcR1) (Lymphocyte inhibitor of TRAIL) (TNF-related apoptosis-inducing ligand receptor 3) (TRAIL receptor 3) (TRAIL-R3) (TRAIL receptor without an intracellular domain) (CD antigen CD263)
Trappin-2	P19957	PI3 WAP3 WFDC14	5266	Elafin (Elastase-specific inhibitor) (ESI) (Peptidase inhibitor 3) (PI-3) (Protease inhibitor WAP3) (Skin-derived antileukoproteinase) (SKALP) (WAP four-disulfide core domain protein 14)
uPAR	Q03405	PLAUR MO3 UPAR	5329	Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (Monocyte activation antigen Mo3) (CD antigen CD87)
VCAM-1	P19320	VCAM1 L1CAM	7412	Vascular cell adhesion protein 1 (V-CAM 1) (VCAM-1) (INCAM-100) (CD antigen CD106)
XEDAR	Q9HAV5	EDA2R TNFRSF27 XEDAR UNQ2448/PRO5727/PRO34080	60401	Tumor necrosis factor receptor superfamily member 27 (X-linked ectodysplasin-A2 receptor) (EDA-A2 receptor)
